3 lutego 2023,Matematyka/II rok/Analiza Matematyczna II.1/2023-egzamin.pdf,,Egzamin,
12 stycznia 2023,Matematyka/II rok/Analiza Matematyczna II.1/2022-kolokwium-2.pdf,,Kolokwium,2 kolokwium
3 lutego 2023,Matematyka/II rok/Analiza Matematyczna II.1/2023-egzamin-gwiazdka.pdf,,Egzamin*,egzamin z I semestru analizy *
2023-02-26,"Matematyka/II rok/Analiza Matematyczna II.1/2023-02-23_21-59-20_kol.pdf",,Kolokwium*,
2023-02-25,"Matematyka/II rok/Analiza Matematyczna II.1/2023-02-27_18-09-34_egzamin poprawkowy.pdf",,Egzamin,"Egzamin poprawkowy",22075b2a3d045afe20eb6cfbdb9a1892ff38e378
2023-02-25,"Matematyka/II rok/Analiza Matematyczna II.1/2023-02-27_18-10-17_egzamin poprawkowy gwiazdka.pdf",,Egzamin*,"Egzamin* poprawkowy",22075b2a3d045afe20eb6cfbdb9a1892ff38e378
