2023-02-20,"Matematyka/I rok/Analiza Matematyczna I.2/2022-kolokiwum-1.2g-rozw.tar.xz",,Egzamin,"W zadaniach są też rozwiązania"
2022-06-20,"Matematyka/I rok/Analiza Matematyczna I.2/Egzamin.pdf","Matematyka/I rok/Analiza Matematyczna I.2/rozw_Zad5_egz.pdf",Egzamin,"część praktyczna"
2022-06-20,"Matematyka/I rok/Analiza Matematyczna I.2/Egzamin_teoria.pdf",,Egzamin,"część teoretyczna"
2022-05-26,"Matematyka/I rok/Analiza Matematyczna I.2/kolokwium2.pdf","Matematyka/I rok/Analiza Matematyczna I.2/rozw_Zad5_egz.pdf",Kolokwium,
2022-04-07,"Matematyka/I rok/Analiza Matematyczna I.2/kolokwium_I.pdf","Matematyka/I rok/Analiza Matematyczna I.2/kolokwium I 2022 roz.tar.xz",Kolokwium,
